交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/3/25,TXO,202103W5,17500,賣權,-,-,-,-,0,1440,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17500,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17600,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17600,賣權,-,-,-,-,0,1540,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17700,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17700,賣權,-,-,-,-,0,1640,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17800,買權,0.1,0.1,0.1,0.1,20,0.1,20,-,0.4,0.1,0.1,,一般
2021/3/25,TXO,202103W5,17800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17800,賣權,-,-,-,-,0,1740,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,12800,買權,-,-,-,-,0,3230,8,-,-,-,-,,一般
2021/3/25,TXO,202104,12800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,12800,賣權,5.1,5.1,3.4,3.7,230,3.7,3664,3.4,3.7,133,3.3,,一般
2021/3/25,TXO,202104,12800,賣權,5.6,5.6,5.6,5.6,7,-,-,3.8,5,133,3.3,,盤後
2021/3/25,TXO,202104,12900,買權,-,-,-,-,0,3130,2,-,-,-,-,,一般
2021/3/25,TXO,202104,12900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,12900,賣權,5.4,5.4,3.8,3.8,294,3.8,1611,3.7,5.8,120,3.6,,一般
2021/3/25,TXO,202104,12900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13000,買權,-,-,-,-,0,3030,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13000,賣權,6.2,6.5,4.2,4.2,115,4.2,1508,4,4.2,154,4.2,,一般
2021/3/25,TXO,202104,13000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13100,買權,-,-,-,-,0,2930,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13100,賣權,6.8,6.8,4.6,4.6,8,4.6,266,4.5,10,175,4.1,,一般
2021/3/25,TXO,202104,13100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13200,買權,-,-,-,-,0,2830,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13200,賣權,6,6.2,4.1,4.6,33,4.6,1709,3.7,5,180,4.1,,一般
2021/3/25,TXO,202104,13200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13300,買權,-,-,-,-,0,2740,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13300,賣權,9.3,9.3,6.6,6.6,13,6.6,380,5.8,7.3,190,5.3,,一般
2021/3/25,TXO,202104,13300,賣權,6,6,6,6,1,-,-,5.2,8.5,190,5.3,,盤後
2021/3/25,TXO,202104,13400,買權,-,-,-,-,0,2640,1,-,-,-,-,,一般
2021/3/25,TXO,202104,13400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13400,賣權,7,7,7,7,1,7,271,4,64,200,6.1,,一般
2021/3/25,TXO,202104,13400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13500,買權,-,-,-,-,0,2540,1,-,-,-,-,,一般
2021/3/25,TXO,202104,13500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13500,賣權,9.9,9.9,7.1,7.4,50,7.3,382,7.3,8.8,237,6.7,,一般
2021/3/25,TXO,202104,13500,賣權,10,10,10,10,2,-,-,7,10.5,237,6.7,,盤後
2021/3/25,TXO,202104,13600,買權,-,-,-,-,0,2440,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13600,賣權,13,13,7.3,7.3,54,7.3,340,7.3,9.9,231,7,,一般
2021/3/25,TXO,202104,13600,賣權,11,11,9.5,11,11,-,-,8,12,231,7,,盤後
2021/3/25,TXO,202104,13700,買權,-,-,-,-,0,2340,0,-,-,-,-,,一般
2021/3/25,TXO,202104,13700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13700,賣權,11,12.5,9.5,9.5,20,9.5,247,9,11,219,7.6,,一般
2021/3/25,TXO,202104,13700,賣權,12,12,11.5,11.5,2,-,-,7.5,12,219,7.6,,盤後
2021/3/25,TXO,202104,13800,買權,-,-,-,-,0,2240,8,-,-,-,-,,一般
2021/3/25,TXO,202104,13800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13800,賣權,15,15,10.5,11,63,11,456,10,14,279,8,,一般
2021/3/25,TXO,202104,13800,賣權,15.5,15.5,11.5,11.5,2,-,-,10.5,19.5,279,8,,盤後
2021/3/25,TXO,202104,13900,買權,-,-,-,-,0,2140,1,-,-,-,-,,一般
2021/3/25,TXO,202104,13900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,13900,賣權,16,16,11.5,12,50,12,599,11,12.5,194,8.5,,一般
2021/3/25,TXO,202104,13900,賣權,13.5,14,13.5,14,30,-,-,13,20.5,194,8.5,,盤後
2021/3/25,TXO,202104,14000,買權,-,-,-,-,0,2040,1,-,-,-,-,,一般
2021/3/25,TXO,202104,14000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14000,賣權,19,19,13,13,338,13,1998,12.5,18,310,10,,一般
2021/3/25,TXO,202104,14000,賣權,18,20,15,20,61,-,-,15.5,20,310,10,,盤後
2021/3/25,TXO,202104,14100,買權,-,-,-,-,0,1940,2,-,-,-,-,,一般
2021/3/25,TXO,202104,14100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14100,賣權,21.5,21.5,14,16,64,15,676,14.5,15.5,218,11,,一般
2021/3/25,TXO,202104,14100,賣權,18.5,22.5,18.5,22.5,5,-,-,18.5,22.5,218,11,,盤後
2021/3/25,TXO,202104,14200,買權,-,-,-,-,0,1850,35,-,-,-,-,,一般
2021/3/25,TXO,202104,14200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14200,賣權,23,23.5,16,17,304,17,1571,16,17.5,316,12.5,,一般
2021/3/25,TXO,202104,14200,賣權,24,24,19,23,41,-,-,23,26,316,12.5,,盤後
2021/3/25,TXO,202104,14300,買權,-,-,-,-,0,1750,0,-,-,-,-,,一般
2021/3/25,TXO,202104,14300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14300,賣權,23,26.5,18.5,19.5,213,19.5,1016,18,19.5,377,13.5,,一般
2021/3/25,TXO,202104,14300,賣權,27.5,28,21.5,28,40,-,-,21.5,30,377,13.5,,盤後
2021/3/25,TXO,202104,14400,買權,-,-,-,-,0,1650,1,-,-,-,-,,一般
2021/3/25,TXO,202104,14400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14400,賣權,32,32,21,21.5,180,21.5,1363,21,23.5,409,15.5,,一般
2021/3/25,TXO,202104,14400,賣權,27,30.5,25,30.5,11,-,-,28.5,36,409,15.5,,盤後
2021/3/25,TXO,202104,14500,買權,-,-,-,-,0,1550,5,-,-,-,-,,一般
2021/3/25,TXO,202104,14500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202104,14500,賣權,37,37,24.5,25,844,25,2818,24,25.5,408,18,,一般
2021/3/25,TXO,202104,14500,賣權,30,42,30,42,139,-,-,36,52,408,18,,盤後
2021/3/25,TXO,202104,14600,買權,1470,1470,1470,1470,9,1460,3,1330,1480,1730,895,,一般
2021/3/25,TXO,202104,14600,買權,1380,1450,1380,1450,14,-,-,1240,-,1730,895,,盤後
2021/3/25,TXO,202104,14600,賣權,40.5,42.5,28,28.5,424,28.5,2366,28,29,497,20,,一般
